processIntesity,runTimeBound,scheduler,wallTime,kernelTime,userTime,cpuUsage,involContextSwitch,volContextSwitch
FIFO,Heavy,CPU,37.153333333333336,1.2333333333333332,72.26,197.0,3574.6666666666665,2342.6666666666665
FIFO,Heavy,IO,16.966666666666665,1.61,9.066666666666668,63.333333333333336,6640.666666666667,22389.0
FIFO,Heavy,MIXED,35.166666666666664,22.563333333333333,46.78333333333333,197.0,10244.333333333334,26127.0
FIFO,Light,CPU,1.1199999999999999,0.01,2.1166666666666667,189.33333333333334,230.66666666666666,155.66666666666666
FIFO,Light,IO,0.29333333333333333,0.06333333333333334,0.29000000000000004,124.0,272.6666666666667,620.3333333333334
FIFO,Light,MIXED,1.2300000000000002,0.4766666666666666,1.7866666666666668,184.0,675.0,819.6666666666666
FIFO,Medium,CPU,14.200000000000001,0.6133333333333334,27.44333333333333,197.0,1661.0,893.3333333333334
FIFO,Medium,IO,6.609999999999999,0.7566666666666667,3.65,67.0,2766.0,9679.0
FIFO,Medium,MIXED,13.200000000000001,8.023333333333333,17.913333333333334,196.0,4221.0,9664.666666666666
OTHER,Heavy,CPU,37.400000000000006,1.6466666666666665,72.30333333333333,197.0,5593.666666666667,3471.3333333333335
OTHER,Heavy,IO,18.39,1.6033333333333333,9.33,59.666666666666664,8349.333333333334,23988.333333333332
OTHER,Heavy,MIXED,35.696666666666665,18.12,52.06666666666666,196.0,12610.0,28924.0
OTHER,Light,CPU,1.1733333333333331,0.02,2.3000000000000003,197.0,396.3333333333333,267.6666666666667
OTHER,Light,IO,0.27666666666666667,0.05000000000000001,0.3,128.66666666666666,452.3333333333333,788.6666666666666
OTHER,Light,MIXED,1.2266666666666666,0.38000000000000006,1.88,184.0,750.0,881.0
OTHER,Medium,CPU,14.229999999999999,0.7133333333333333,27.386666666666667,197.0,2535.0,1304.0
OTHER,Medium,IO,6.623333333333334,0.7833333333333333,3.7133333333333334,68.0,3742.6666666666665,9980.666666666666
OTHER,Medium,MIXED,13.453333333333333,6.45,19.896666666666665,195.33333333333334,5482.333333333333,10771.333333333334
RR,Heavy,CPU,36.86000000000001,1.3066666666666666,71.61666666666666,197.0,3700.0,2340.6666666666665
RR,Heavy,IO,18.33,1.5566666666666666,8.969999999999999,57.0,6767.333333333333,22959.666666666668
RR,Heavy,MIXED,34.830000000000005,22.406666666666666,46.29,197.0,10596.666666666666,25821.0
RR,Light,CPU,1.0866666666666667,0.0033333333333333335,2.13,195.33333333333334,78.66666666666667,63.333333333333336
RR,Light,IO,0.24666666666666667,0.06,0.27666666666666667,138.33333333333334,175.0,553.0
RR,Light,MIXED,1.21,0.8366666666666666,1.3666666666666665,181.33333333333334,346.0,751.6666666666666
RR,Medium,CPU,14.383333333333333,0.5333333333333333,27.846666666666664,196.66666666666666,1518.6666666666667,845.3333333333334
RR,Medium,IO,6.273333333333333,0.73,3.5700000000000003,68.66666666666667,2486.6666666666665,8768.666666666666
RR,Medium,MIXED,13.14,7.733333333333333,18.09,196.0,4180.0,9841.0
